question,answer
What diet category does Mag Dhokli belong to?,vegetarian
How long does it take to prepare Mag Dhokli?,-1 minutes
What is the preparation time for Mag Dhokli?,-1 minutes
How many minutes does it take to prepare Mag Dhokli?,-1 minutes
How long does it take to cook Mag Dhokli?,-1 minutes
What is the cooking time for Mag Dhokli?,-1 minutes
How many minutes does it take to cook Mag Dhokli?,-1 minutes
What is the origin of Mag Dhokli?,Gujarat
In which state was Mag Dhokli created?,Gujarat
Which state does Mag Dhokli belong to?,Gujarat
In which region is Mag Dhokli prepared?,West
What region does Mag Dhokli belong to?,West
In which region is Mag Dhokli popular?,West
What is the flavor profile of Mag Dhokli?,spicy
How does Mag Dhokli taste?,spicy
What flavor does Mag Dhokli have?,spicy
What is the food category of Mag Dhokli?,snack
In which course is Mag Dhokli typically served?,snack
Is Mag Dhokli a main dish or a side dish?,snack
What ingredients are needed to prepare Khichu?,"Rice flour, sesame seeds, baking soda, peanut oil"
What are the required ingredients to make Khichu?,"Rice flour, sesame seeds, baking soda, peanut oil"
What is Khichu made of?,"Rice flour, sesame seeds, baking soda, peanut oil"
What is the dietary type of Khichu?,vegetarian
Is Khichu vegetarian or non-vegetarian?,vegetarian
What diet category does Khichu belong to?,vegetarian
How long does it take to prepare Khichu?,5 minutes
What is the preparation time for Khichu?,5 minutes
How many minutes does it take to prepare Khichu?,5 minutes
How long does it take to cook Khichu?,10 minutes
What is the cooking time for Khichu?,10 minutes
How many minutes does it take to cook Khichu?,10 minutes
What is the origin of Khichu?,Gujarat
In which state was Khichu created?,Gujarat
Which state does Khichu belong to?,Gujarat
In which region is Khichu prepared?,West
What region does Khichu belong to?,West
In which region is Khichu popular?,West
What is the flavor profile of Khichu?,spicy
How does Khichu taste?,spicy
What flavor does Khichu have?,spicy
What is the food category of Khichu?,snack
In which course is Khichu typically served?,snack
Is Khichu a main dish or a side dish?,snack
What ingredients are needed to prepare Thepla?,"Chickpea flour, methi leaves, jowar flour, wheat flour"
What are the required ingredients to make Thepla?,"Chickpea flour, methi leaves, jowar flour, wheat flour"
What is Thepla made of?,"Chickpea flour, methi leaves, jowar flour, wheat flour"
What is the dietary type of Thepla?,vegetarian
Is Thepla vegetarian or non-vegetarian?,vegetarian
What diet category does Thepla belong to?,vegetarian
How long does it take to prepare Thepla?,15 minutes
What is the preparation time for Thepla?,15 minutes
How many minutes does it take to prepare Thepla?,15 minutes
How long does it take to cook Thepla?,30 minutes
What is the cooking time for Thepla?,30 minutes
How many minutes does it take to cook Thepla?,30 minutes
What is the origin of Thepla?,Gujarat
In which state was Thepla created?,Gujarat
Which state does Thepla belong to?,Gujarat
In which region is Thepla prepared?,West
What region does Thepla belong to?,West
In which region is Thepla popular?,West
What is the flavor profile of Thepla?,spicy
How does Thepla taste?,spicy
What flavor does Thepla have?,spicy
What is the food category of Thepla?,snack
In which course is Thepla typically served?,snack
Is Thepla a main dish or a side dish?,snack
What ingredients are needed to prepare Farsi Puri?,"Semolina, clarified butter, oil, white flour, black pepper"
What are the required ingredients to make Farsi Puri?,"Semolina, clarified butter, oil, white flour, black pepper"
What is Farsi Puri made of?,"Semolina, clarified butter, oil, white flour, black pepper"
What is the dietary type of Farsi Puri?,vegetarian
Is Farsi Puri vegetarian or non-vegetarian?,vegetarian
What diet category does Farsi Puri belong to?,vegetarian
How long does it take to prepare Farsi Puri?,-1 minutes
What is the preparation time for Farsi Puri?,-1 minutes
How many minutes does it take to prepare Farsi Puri?,-1 minutes
How long does it take to cook Farsi Puri?,-1 minutes
What is the cooking time for Farsi Puri?,-1 minutes
How many minutes does it take to cook Farsi Puri?,-1 minutes
What is the origin of Farsi Puri?,Gujarat
In which state was Farsi Puri created?,Gujarat
Which state does Farsi Puri belong to?,Gujarat
In which region is Farsi Puri prepared?,West
What region does Farsi Puri belong to?,West
In which region is Farsi Puri popular?,West
What is the flavor profile of Farsi Puri?,-1
How does Farsi Puri taste?,-1
What flavor does Farsi Puri have?,-1
What is the food category of Farsi Puri?,snack
In which course is Farsi Puri typically served?,snack
Is Farsi Puri a main dish or a side dish?,snack
What ingredients are needed to prepare Khaman?,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour"
What are the required ingredients to make Khaman?,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour"
What is Khaman made of?,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour"
What is the dietary type of Khaman?,vegetarian
Is Khaman vegetarian or non-vegetarian?,vegetarian
What diet category does Khaman belong to?,vegetarian
How long does it take to prepare Khaman?,10 minutes
What is the preparation time for Khaman?,10 minutes
How many minutes does it take to prepare Khaman?,10 minutes
How long does it take to cook Khaman?,20 minutes
What is the cooking time for Khaman?,20 minutes
How many minutes does it take to cook Khaman?,20 minutes
What is the origin of Khaman?,Gujarat
In which state was Khaman created?,Gujarat
Which state does Khaman belong to?,Gujarat
In which region is Khaman prepared?,West
What region does Khaman belong to?,West
In which region is Khaman popular?,West
What is the flavor profile of Khaman?,spicy
How does Khaman taste?,spicy
What flavor does Khaman have?,spicy
What is the food category of Khaman?,snack
In which course is Khaman typically served?,snack
Is Khaman a main dish or a side dish?,snack
What ingredients are needed to prepare Turiya Patra Vatana sabji?,"Ridge gourd, baking soda, sugar, grated coconut, peas"
What are the required ingredients to make Turiya Patra Vatana sabji?,"Ridge gourd, baking soda, sugar, grated coconut, peas"
What is Turiya Patra Vatana sabji made of?,"Ridge gourd, baking soda, sugar, grated coconut, peas"
What is the dietary type of Turiya Patra Vatana sabji?,vegetarian
Is Turiya Patra Vatana sabji vegetarian or non-vegetarian?,vegetarian
What diet category does Turiya Patra Vatana sabji belong to?,vegetarian
How long does it take to prepare Turiya Patra Vatana sabji?,35 minutes
What is the preparation time for Turiya Patra Vatana sabji?,35 minutes
How many minutes does it take to prepare Turiya Patra Vatana sabji?,35 minutes
How long does it take to cook Turiya Patra Vatana sabji?,40 minutes
What is the cooking time for Turiya Patra Vatana sabji?,40 minutes
How many minutes does it take to cook Turiya Patra Vatana sabji?,40 minutes
What is the origin of Turiya Patra Vatana sabji?,Gujarat
In which state was Turiya Patra Vatana sabji created?,Gujarat
Which state does Turiya Patra Vatana sabji belong to?,Gujarat
In which region is Turiya Patra Vatana sabji prepared?,West
What region does Turiya Patra Vatana sabji belong to?,West
In which region is Turiya Patra Vatana sabji popular?,West
What is the flavor profile of Turiya Patra Vatana sabji?,spicy
How does Turiya Patra Vatana sabji taste?,spicy
What flavor does Turiya Patra Vatana sabji have?,spicy
What is the food category of Turiya Patra Vatana sabji?,main course
In which course is Turiya Patra Vatana sabji typically served?,main course
Is Turiya Patra Vatana sabji a main dish or a side dish?,main course
What ingredients are needed to prepare Churma Ladoo?,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur"
What are the required ingredients to make Churma Ladoo?,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur"
What is Churma Ladoo made of?,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur"
What is the dietary type of Churma Ladoo?,vegetarian
Is Churma Ladoo vegetarian or non-vegetarian?,vegetarian
What diet category does Churma Ladoo belong to?,vegetarian
How long does it take to prepare Churma Ladoo?,12 minutes
What is the preparation time for Churma Ladoo?,12 minutes
How many minutes does it take to prepare Churma Ladoo?,12 minutes
How long does it take to cook Churma Ladoo?,40 minutes
What is the cooking time for Churma Ladoo?,40 minutes
How many minutes does it take to cook Churma Ladoo?,40 minutes
What is the origin of Churma Ladoo?,Rajasthan
In which state was Churma Ladoo created?,Rajasthan
Which state does Churma Ladoo belong to?,Rajasthan
In which region is Churma Ladoo prepared?,West
What region does Churma Ladoo belong to?,West
In which region is Churma Ladoo popular?,West
What is the flavor profile of Churma Ladoo?,sweet
How does Churma Ladoo taste?,sweet
What flavor does Churma Ladoo have?,sweet
What is the food category of Churma Ladoo?,dessert
In which course is Churma Ladoo typically served?,dessert
Is Churma Ladoo a main dish or a side dish?,dessert
What ingredients are needed to prepare Cheera Doi?,"Rice, mango, curd"
What are the required ingredients to make Cheera Doi?,"Rice, mango, curd"
What is Cheera Doi made of?,"Rice, mango, curd"
What is the dietary type of Cheera Doi?,vegetarian
Is Cheera Doi vegetarian or non-vegetarian?,vegetarian
What diet category does Cheera Doi belong to?,vegetarian
How long does it take to prepare Cheera Doi?,-1 minutes
What is the preparation time for Cheera Doi?,-1 minutes
How many minutes does it take to prepare Cheera Doi?,-1 minutes
How long does it take to cook Cheera Doi?,-1 minutes
What is the cooking time for Cheera Doi?,-1 minutes
How many minutes does it take to cook Cheera Doi?,-1 minutes
What is the origin of Cheera Doi?,West Bengal
In which state was Cheera Doi created?,West Bengal
Which state does Cheera Doi belong to?,West Bengal
In which region is Cheera Doi prepared?,East
What region does Cheera Doi belong to?,East
In which region is Cheera Doi popular?,East
What is the flavor profile of Cheera Doi?,sweet
How does Cheera Doi taste?,sweet
What flavor does Cheera Doi have?,sweet
What is the food category of Cheera Doi?,dessert
In which course is Cheera Doi typically served?,dessert
Is Cheera Doi a main dish or a side dish?,dessert
What ingredients are needed to prepare Gheela Pitha?,"Sticky rice, rice flour, jaggery, orange rind"
What are the required ingredients to make Gheela Pitha?,"Sticky rice, rice flour, jaggery, orange rind"
What is Gheela Pitha made of?,"Sticky rice, rice flour, jaggery, orange rind"
What is the dietary type of Gheela Pitha?,vegetarian
Is Gheela Pitha vegetarian or non-vegetarian?,vegetarian
What diet category does Gheela Pitha belong to?,vegetarian
How long does it take to prepare Gheela Pitha?,10 minutes
What is the preparation time for Gheela Pitha?,10 minutes
How many minutes does it take to prepare Gheela Pitha?,10 minutes
How long does it take to cook Gheela Pitha?,30 minutes
What is the cooking time for Gheela Pitha?,30 minutes
How many minutes does it take to cook Gheela Pitha?,30 minutes
What is the origin of Gheela Pitha?,Assam
In which state was Gheela Pitha created?,Assam
Which state does Gheela Pitha belong to?,Assam
In which region is Gheela Pitha prepared?,North East
What region does Gheela Pitha belong to?,North East
In which region is Gheela Pitha popular?,North East
What is the flavor profile of Gheela Pitha?,sweet
How does Gheela Pitha taste?,sweet
What flavor does Gheela Pitha have?,sweet
What is the food category of Gheela Pitha?,dessert
In which course is Gheela Pitha typically served?,dessert
Is Gheela Pitha a main dish or a side dish?,dessert
What ingredients are needed to prepare Khar?,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds"
What are the required ingredients to make Khar?,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds"
What is Khar made of?,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds"
What is the dietary type of Khar?,vegetarian
Is Khar vegetarian or non-vegetarian?,vegetarian
What diet category does Khar belong to?,vegetarian
How long does it take to prepare Khar?,10 minutes
What is the preparation time for Khar?,10 minutes
How many minutes does it take to prepare Khar?,10 minutes
How long does it take to cook Khar?,20 minutes
What is the cooking time for Khar?,20 minutes
How many minutes does it take to cook Khar?,20 minutes
What is the origin of Khar?,Assam
In which state was Khar created?,Assam
Which state does Khar belong to?,Assam
In which region is Khar prepared?,North East
What region does Khar belong to?,North East
In which region is Khar popular?,North East
What is the flavor profile of Khar?,-1
How does Khar taste?,-1
What flavor does Khar have?,-1
What is the food category of Khar?,main course
In which course is Khar typically served?,main course
Is Khar a main dish or a side dish?,main course
What ingredients are needed to prepare Kumol Sawul?,"Rice, eggs, carrot, beetroot"
What are the required ingredients to make Kumol Sawul?,"Rice, eggs, carrot, beetroot"
What is Kumol Sawul made of?,"Rice, eggs, carrot, beetroot"
What is the dietary type of Kumol Sawul?,non vegetarian
Is Kumol Sawul vegetarian or non-vegetarian?,non vegetarian
What diet category does Kumol Sawul belong to?,non vegetarian
How long does it take to prepare Kumol Sawul?,-1 minutes
What is the preparation time for Kumol Sawul?,-1 minutes
How many minutes does it take to prepare Kumol Sawul?,-1 minutes
How long does it take to cook Kumol Sawul?,-1 minutes
What is the cooking time for Kumol Sawul?,-1 minutes
How many minutes does it take to cook Kumol Sawul?,-1 minutes
What is the origin of Kumol Sawul?,Assam
In which state was Kumol Sawul created?,Assam
Which state does Kumol Sawul belong to?,Assam
In which region is Kumol Sawul prepared?,North East
What region does Kumol Sawul belong to?,North East
In which region is Kumol Sawul popular?,North East
What is the flavor profile of Kumol Sawul?,spicy
How does Kumol Sawul taste?,spicy
What flavor does Kumol Sawul have?,spicy
What is the food category of Kumol Sawul?,main course
In which course is Kumol Sawul typically served?,main course
Is Kumol Sawul a main dish or a side dish?,main course
What ingredients are needed to prepare Luchi?,"Maida, vegetable oil"
What are the required ingredients to make Luchi?,"Maida, vegetable oil"
What is Luchi made of?,"Maida, vegetable oil"
What is the dietary type of Luchi?,vegetarian
Is Luchi vegetarian or non-vegetarian?,vegetarian
What diet category does Luchi belong to?,vegetarian
How long does it take to prepare Luchi?,20 minutes
What is the preparation time for Luchi?,20 minutes
How many minutes does it take to prepare Luchi?,20 minutes
How long does it take to cook Luchi?,30 minutes
What is the cooking time for Luchi?,30 minutes
How many minutes does it take to cook Luchi?,30 minutes
What is the origin of Luchi?,West Bengal
In which state was Luchi created?,West Bengal
Which state does Luchi belong to?,West Bengal
In which region is Luchi prepared?,East
What region does Luchi belong to?,East
In which region is Luchi popular?,East
What is the flavor profile of Luchi?,-1
How does Luchi taste?,-1
What flavor does Luchi have?,-1
What is the food category of Luchi?,main course
In which course is Luchi typically served?,main course
Is Luchi a main dish or a side dish?,main course
What ingredients are needed to prepare Alu Pitika?,"Potatoes, mustard oil, fish, green chillies"
What are the required ingredients to make Alu Pitika?,"Potatoes, mustard oil, fish, green chillies"
What is Alu Pitika made of?,"Potatoes, mustard oil, fish, green chillies"
What is the dietary type of Alu Pitika?,non vegetarian
Is Alu Pitika vegetarian or non-vegetarian?,non vegetarian
What diet category does Alu Pitika belong to?,non vegetarian
How long does it take to prepare Alu Pitika?,5 minutes
What is the preparation time for Alu Pitika?,5 minutes
How many minutes does it take to prepare Alu Pitika?,5 minutes
How long does it take to cook Alu Pitika?,20 minutes
What is the cooking time for Alu Pitika?,20 minutes
How many minutes does it take to cook Alu Pitika?,20 minutes
What is the origin of Alu Pitika?,Assam
In which state was Alu Pitika created?,Assam
Which state does Alu Pitika belong to?,Assam
In which region is Alu Pitika prepared?,North East
What region does Alu Pitika belong to?,North East
In which region is Alu Pitika popular?,North East
What is the flavor profile of Alu Pitika?,spicy
How does Alu Pitika taste?,spicy
What flavor does Alu Pitika have?,spicy
What is the food category of Alu Pitika?,main course
In which course is Alu Pitika typically served?,main course
Is Alu Pitika a main dish or a side dish?,main course
What ingredients are needed to prepare Masor tenga?,"Ridge gourd, fish, lemon, tomatoes, mustard oil"
What are the required ingredients to make Masor tenga?,"Ridge gourd, fish, lemon, tomatoes, mustard oil"
What is Masor tenga made of?,"Ridge gourd, fish, lemon, tomatoes, mustard oil"
What is the dietary type of Masor tenga?,non vegetarian
Is Masor tenga vegetarian or non-vegetarian?,non vegetarian
What diet category does Masor tenga belong to?,non vegetarian
How long does it take to prepare Masor tenga?,15 minutes
What is the preparation time for Masor tenga?,15 minutes
How many minutes does it take to prepare Masor tenga?,15 minutes
How long does it take to cook Masor tenga?,25 minutes
What is the cooking time for Masor tenga?,25 minutes
How many minutes does it take to cook Masor tenga?,25 minutes
What is the origin of Masor tenga?,Assam
In which state was Masor tenga created?,Assam
Which state does Masor tenga belong to?,Assam
In which region is Masor tenga prepared?,North East
What region does Masor tenga belong to?,North East
In which region is Masor tenga popular?,North East
What is the flavor profile of Masor tenga?,spicy
How does Masor tenga taste?,spicy
What flavor does Masor tenga have?,spicy
What is the food category of Masor tenga?,main course
In which course is Masor tenga typically served?,main course
Is Masor tenga a main dish or a side dish?,main course
What ingredients are needed to prepare Bengena Pitika?,"Brinjal, onions, salt, sesame seeds, coriander"
What are the required ingredients to make Bengena Pitika?,"Brinjal, onions, salt, sesame seeds, coriander"
What is Bengena Pitika made of?,"Brinjal, onions, salt, sesame seeds, coriander"
What is the dietary type of Bengena Pitika?,vegetarian
Is Bengena Pitika vegetarian or non-vegetarian?,vegetarian
What diet category does Bengena Pitika belong to?,vegetarian
How long does it take to prepare Bengena Pitika?,-1 minutes
What is the preparation time for Bengena Pitika?,-1 minutes
How many minutes does it take to prepare Bengena Pitika?,-1 minutes
How long does it take to cook Bengena Pitika?,-1 minutes
What is the cooking time for Bengena Pitika?,-1 minutes
How many minutes does it take to cook Bengena Pitika?,-1 minutes
What is the origin of Bengena Pitika?,Assam
In which state was Bengena Pitika created?,Assam
Which state does Bengena Pitika belong to?,Assam
In which region is Bengena Pitika prepared?,North East
What region does Bengena Pitika belong to?,North East
In which region is Bengena Pitika popular?,North East
What is the flavor profile of Bengena Pitika?,-1
How does Bengena Pitika taste?,-1
What flavor does Bengena Pitika have?,-1
What is the food category of Bengena Pitika?,main course
In which course is Bengena Pitika typically served?,main course
Is Bengena Pitika a main dish or a side dish?,main course
What ingredients are needed to prepare Bilahi Maas?,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf"
What are the required ingredients to make Bilahi Maas?,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf"
What is Bilahi Maas made of?,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf"
What is the dietary type of Bilahi Maas?,non vegetarian
Is Bilahi Maas vegetarian or non-vegetarian?,non vegetarian
What diet category does Bilahi Maas belong to?,non vegetarian
How long does it take to prepare Bilahi Maas?,10 minutes
What is the preparation time for Bilahi Maas?,10 minutes
How many minutes does it take to prepare Bilahi Maas?,10 minutes
How long does it take to cook Bilahi Maas?,20 minutes
What is the cooking time for Bilahi Maas?,20 minutes
How many minutes does it take to cook Bilahi Maas?,20 minutes
What is the origin of Bilahi Maas?,Assam
In which state was Bilahi Maas created?,Assam
Which state does Bilahi Maas belong to?,Assam
In which region is Bilahi Maas prepared?,North East
What region does Bilahi Maas belong to?,North East
In which region is Bilahi Maas popular?,North East
What is the flavor profile of Bilahi Maas?,-1
How does Bilahi Maas taste?,-1
What flavor does Bilahi Maas have?,-1
What is the food category of Bilahi Maas?,main course
In which course is Bilahi Maas typically served?,main course
Is Bilahi Maas a main dish or a side dish?,main course
What ingredients are needed to prepare Black rice?,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder"
What are the required ingredients to make Black rice?,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder"
What is Black rice made of?,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder"
What is the dietary type of Black rice?,non vegetarian
Is Black rice vegetarian or non-vegetarian?,non vegetarian
What diet category does Black rice belong to?,non vegetarian
How long does it take to prepare Black rice?,-1 minutes
What is the preparation time for Black rice?,-1 minutes
How many minutes does it take to prepare Black rice?,-1 minutes
How long does it take to cook Black rice?,-1 minutes
What is the cooking time for Black rice?,-1 minutes
How many minutes does it take to cook Black rice?,-1 minutes
What is the origin of Black rice?,Manipur
In which state was Black rice created?,Manipur
Which state does Black rice belong to?,Manipur
In which region is Black rice prepared?,North East
What region does Black rice belong to?,North East
In which region is Black rice popular?,North East
What is the flavor profile of Black rice?,-1
How does Black rice taste?,-1
What flavor does Black rice have?,-1
What is the food category of Black rice?,main course
In which course is Black rice typically served?,main course
Is Black rice a main dish or a side dish?,main course
What ingredients are needed to prepare Bora Sawul?,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds"
What are the required ingredients to make Bora Sawul?,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds"
What is Bora Sawul made of?,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds"
What is the dietary type of Bora Sawul?,vegetarian
Is Bora Sawul vegetarian or non-vegetarian?,vegetarian
What diet category does Bora Sawul belong to?,vegetarian
How long does it take to prepare Bora Sawul?,-1 minutes
What is the preparation time for Bora Sawul?,-1 minutes
How many minutes does it take to prepare Bora Sawul?,-1 minutes
How long does it take to cook Bora Sawul?,-1 minutes
What is the cooking time for Bora Sawul?,-1 minutes
How many minutes does it take to cook Bora Sawul?,-1 minutes
What is the origin of Bora Sawul?,Assam
In which state was Bora Sawul created?,Assam
Which state does Bora Sawul belong to?,Assam
In which region is Bora Sawul prepared?,North East
What region does Bora Sawul belong to?,North East
In which region is Bora Sawul popular?,North East
What is the flavor profile of Bora Sawul?,spicy
How does Bora Sawul taste?,spicy
What flavor does Bora Sawul have?,spicy
What is the food category of Bora Sawul?,main course
In which course is Bora Sawul typically served?,main course
Is Bora Sawul a main dish or a side dish?,main course
What ingredients are needed to prepare Brown Rice?,"Brown rice, soy sauce, olive oil"
What are the required ingredients to make Brown Rice?,"Brown rice, soy sauce, olive oil"
What is Brown Rice made of?,"Brown rice, soy sauce, olive oil"
What is the dietary type of Brown Rice?,vegetarian
Is Brown Rice vegetarian or non-vegetarian?,vegetarian
What diet category does Brown Rice belong to?,vegetarian
How long does it take to prepare Brown Rice?,15 minutes
What is the preparation time for Brown Rice?,15 minutes
How many minutes does it take to prepare Brown Rice?,15 minutes
How long does it take to cook Brown Rice?,25 minutes
What is the cooking time for Brown Rice?,25 minutes
How many minutes does it take to cook Brown Rice?,25 minutes
What is the origin of Brown Rice?,-1
In which state was Brown Rice created?,-1
Which state does Brown Rice belong to?,-1
In which region is Brown Rice prepared?,-1
What region does Brown Rice belong to?,-1
In which region is Brown Rice popular?,-1
What is the flavor profile of Brown Rice?,-1
How does Brown Rice taste?,-1
What flavor does Brown Rice have?,-1
What is the food category of Brown Rice?,main course
In which course is Brown Rice typically served?,main course
Is Brown Rice a main dish or a side dish?,main course
What ingredients are needed to prepare Chingri malai curry?,"Coconut milk, lobster, fresh green chilli, ginger, red onion"
What are the required ingredients to make Chingri malai curry?,"Coconut milk, lobster, fresh green chilli, ginger, red onion"
What is Chingri malai curry made of?,"Coconut milk, lobster, fresh green chilli, ginger, red onion"
What is the dietary type of Chingri malai curry?,non vegetarian
Is Chingri malai curry vegetarian or non-vegetarian?,non vegetarian
What diet category does Chingri malai curry belong to?,non vegetarian
How long does it take to prepare Chingri malai curry?,10 minutes
What is the preparation time for Chingri malai curry?,10 minutes
How many minutes does it take to prepare Chingri malai curry?,10 minutes
How long does it take to cook Chingri malai curry?,40 minutes
What is the cooking time for Chingri malai curry?,40 minutes
How many minutes does it take to cook Chingri malai curry?,40 minutes
What is the origin of Chingri malai curry?,West Bengal
In which state was Chingri malai curry created?,West Bengal
Which state does Chingri malai curry belong to?,West Bengal
In which region is Chingri malai curry prepared?,East
What region does Chingri malai curry belong to?,East
In which region is Chingri malai curry popular?,East
What is the flavor profile of Chingri malai curry?,spicy
How does Chingri malai curry taste?,spicy
What flavor does Chingri malai curry have?,spicy
What is the food category of Chingri malai curry?,main course
In which course is Chingri malai curry typically served?,main course
Is Chingri malai curry a main dish or a side dish?,main course
What ingredients are needed to prepare Goja?,"Baking soda, clarified butter, oil, all purpose flour"
What are the required ingredients to make Goja?,"Baking soda, clarified butter, oil, all purpose flour"
What is Goja made of?,"Baking soda, clarified butter, oil, all purpose flour"
What is the dietary type of Goja?,vegetarian
Is Goja vegetarian or non-vegetarian?,vegetarian
What diet category does Goja belong to?,vegetarian
How long does it take to prepare Goja?,20 minutes
What is the preparation time for Goja?,20 minutes
How many minutes does it take to prepare Goja?,20 minutes
How long does it take to cook Goja?,60 minutes
What is the cooking time for Goja?,60 minutes
How many minutes does it take to cook Goja?,60 minutes
What is the origin of Goja?,West Bengal
In which state was Goja created?,West Bengal
Which state does Goja belong to?,West Bengal
In which region is Goja prepared?,East
What region does Goja belong to?,East
In which region is Goja popular?,East
What is the flavor profile of Goja?,sweet
How does Goja taste?,sweet
What flavor does Goja have?,sweet
What is the food category of Goja?,dessert
In which course is Goja typically served?,dessert
Is Goja a main dish or a side dish?,dessert
What ingredients are needed to prepare Hando Guri?,"Jaggery, raisins"
What are the required ingredients to make Hando Guri?,"Jaggery, raisins"
What is Hando Guri made of?,"Jaggery, raisins"
What is the dietary type of Hando Guri?,vegetarian
Is Hando Guri vegetarian or non-vegetarian?,vegetarian
What diet category does Hando Guri belong to?,vegetarian
How long does it take to prepare Hando Guri?,-1 minutes
What is the preparation time for Hando Guri?,-1 minutes
How many minutes does it take to prepare Hando Guri?,-1 minutes
How long does it take to cook Hando Guri?,-1 minutes
What is the cooking time for Hando Guri?,-1 minutes
How many minutes does it take to cook Hando Guri?,-1 minutes
What is the origin of Hando Guri?,Assam
In which state was Hando Guri created?,Assam
Which state does Hando Guri belong to?,Assam
In which region is Hando Guri prepared?,North East
What region does Hando Guri belong to?,North East
In which region is Hando Guri popular?,North East
What is the flavor profile of Hando Guri?,sweet
How does Hando Guri taste?,sweet
What flavor does Hando Guri have?,sweet
What is the food category of Hando Guri?,dessert
In which course is Hando Guri typically served?,dessert
Is Hando Guri a main dish or a side dish?,dessert
What ingredients are needed to prepare Haq Maas?,"Lamb, garam masala powder, curd, turmeric, bay leaf"
What are the required ingredients to make Haq Maas?,"Lamb, garam masala powder, curd, turmeric, bay leaf"
What is Haq Maas made of?,"Lamb, garam masala powder, curd, turmeric, bay leaf"
What is the dietary type of Haq Maas?,non vegetarian
Is Haq Maas vegetarian or non-vegetarian?,non vegetarian
What diet category does Haq Maas belong to?,non vegetarian
How long does it take to prepare Haq Maas?,20 minutes
What is the preparation time for Haq Maas?,20 minutes
How many minutes does it take to prepare Haq Maas?,20 minutes
How long does it take to cook Haq Maas?,40 minutes
What is the cooking time for Haq Maas?,40 minutes
How many minutes does it take to cook Haq Maas?,40 minutes
What is the origin of Haq Maas?,Assam
In which state was Haq Maas created?,Assam
Which state does Haq Maas belong to?,Assam
In which region is Haq Maas prepared?,North East
What region does Haq Maas belong to?,North East
In which region is Haq Maas popular?,North East
What is the flavor profile of Haq Maas?,spicy
How does Haq Maas taste?,spicy
What flavor does Haq Maas have?,spicy
What is the food category of Haq Maas?,main course
In which course is Haq Maas typically served?,main course
Is Haq Maas a main dish or a side dish?,main course
What ingredients are needed to prepare Chingri Bhape?,"Coconut, prawns, curd, mustard seed, green chili"
What are the required ingredients to make Chingri Bhape?,"Coconut, prawns, curd, mustard seed, green chili"
What is Chingri Bhape made of?,"Coconut, prawns, curd, mustard seed, green chili"
What is the dietary type of Chingri Bhape?,non vegetarian
Is Chingri Bhape vegetarian or non-vegetarian?,non vegetarian
What diet category does Chingri Bhape belong to?,non vegetarian
How long does it take to prepare Chingri Bhape?,15 minutes
What is the preparation time for Chingri Bhape?,15 minutes
How many minutes does it take to prepare Chingri Bhape?,15 minutes
How long does it take to cook Chingri Bhape?,30 minutes
What is the cooking time for Chingri Bhape?,30 minutes
How many minutes does it take to cook Chingri Bhape?,30 minutes
What is the origin of Chingri Bhape?,West Bengal
In which state was Chingri Bhape created?,West Bengal
Which state does Chingri Bhape belong to?,West Bengal
In which region is Chingri Bhape prepared?,East
What region does Chingri Bhape belong to?,East
In which region is Chingri Bhape popular?,East
What is the flavor profile of Chingri Bhape?,-1
How does Chingri Bhape taste?,-1
What flavor does Chingri Bhape have?,-1
What is the food category of Chingri Bhape?,main course
In which course is Chingri Bhape typically served?,main course
Is Chingri Bhape a main dish or a side dish?,main course
What ingredients are needed to prepare Kabiraji?,"Fish fillet, besan, lemon, mint, ginger"
What are the required ingredients to make Kabiraji?,"Fish fillet, besan, lemon, mint, ginger"
What is Kabiraji made of?,"Fish fillet, besan, lemon, mint, ginger"
What is the dietary type of Kabiraji?,non vegetarian
Is Kabiraji vegetarian or non-vegetarian?,non vegetarian
What diet category does Kabiraji belong to?,non vegetarian
How long does it take to prepare Kabiraji?,-1 minutes
What is the preparation time for Kabiraji?,-1 minutes
How many minutes does it take to prepare Kabiraji?,-1 minutes
How long does it take to cook Kabiraji?,-1 minutes
What is the cooking time for Kabiraji?,-1 minutes
How many minutes does it take to cook Kabiraji?,-1 minutes
What is the origin of Kabiraji?,West Bengal
In which state was Kabiraji created?,West Bengal
Which state does Kabiraji belong to?,West Bengal
